dataset_name,path,image,question_1,answer_1,question_2,answer_2,question_3,answer_3
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(73).jpg,image(73).jpg,Is there any abnormal growth in this MRI?,No tumor is detected here.,Which tumor type does this image show?,No tumor present.,In which direction is this MRI taken?,View type: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(74).jpg,image(74).jpg,Does this MRI show signs of a tumor?,No growth is present.,What kind of tumor is present in the image?,No tumor present.,Which anatomical plane is used?,Axial plane is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(75).jpg,image(75).jpg,Is there a tumor visible in this scan?,No tumor can be seen.,Specify the tumor type visible here.,No tumor present.,What is the imaging perspective?,Orientation: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(76).jpg,image(76).jpg,Does this MRI image show a tumor?,No tumor is detected here.,Specify the tumor type visible here.,No tumor present.,What is the view type of this image?,View type: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(77).jpg,image(77).jpg,Is a tumor present in the scan provided?,No growth is present.,Which tumor type does this image show?,No tumor present.,What kind of image view is this?,Axial slice is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(78).jpg,image(78).jpg,Does this MRI show signs of a tumor?,No tumor is detected here.,What does the scan indicate as tumor type?,No tumor present.,What is the imaging perspective?,Orientation: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(79).jpg,image(79).jpg,Does this MRI show signs of a tumor?,There’s no abnormality in the image.,What is the classification of this tumor?,No tumor present.,What kind of image view is this?,This is an axial view.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(80).jpg,image(80).jpg,Is a tumor present in the scan provided?,No tumor is detected here.,What is the detected tumor type?,No tumor present.,What is the imaging perspective?,Axial plane is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(81).jpg,image(81).jpg,Is there any abnormal growth in this MRI?,There’s no abnormality in the image.,Which tumor type does this image show?,No tumor present.,What is the view type of this image?,Axial plane is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(82).jpg,image(82).jpg,Can a tumor be observed in the image?,No tumor is detected here.,What specific tumor is present here?,No tumor present.,In which direction is this MRI taken?,Sagittal type image.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(83).jpg,image(83).jpg,Is a tumor present in the scan provided?,The scan appears normal.,Can you tell the type of tumor shown?,No tumor present.,Which plane is shown in the image?,View type: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(84).jpg,image(84).jpg,Can a tumor be observed in the image?,The scan appears normal.,What is the classification of this tumor?,No tumor present.,What's the viewing angle here?,Axial type image.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(85).jpg,image(85).jpg,Is this an example of a tumorous brain scan?,"No, there is no tumor present.",What is the classification of this tumor?,No tumor present.,What image type is displayed here?,Axial plane is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(86).jpg,image(86).jpg,Can a tumor be observed in the image?,No tumor can be seen.,Specify the tumor type visible here.,No tumor present.,Which plane is shown in the image?,Axial perspective image.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(87).jpg,image(87).jpg,Is there any abnormal growth in this MRI?,The image does not show a tumor.,What specific tumor is present here?,No tumor present.,Can you name the scan view type?,This is an axial view.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(88).jpg,image(88).jpg,Can you detect any tumor in this image?,No indication of tumor.,What specific tumor is present here?,No tumor present.,In which direction is this MRI taken?,View type: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(89).jpg,image(89).jpg,Is the scan indicating the presence of a tumor?,"No, there is no tumor present.",What specific tumor is present here?,No tumor present.,Which anatomical plane is used?,Scan is from axial direction.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(90).jpg,image(90).jpg,Is there any abnormal growth in this MRI?,The scan appears normal.,What is the classification of this tumor?,No tumor present.,Which plane is shown in the image?,Axial slice is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(91).jpg,image(91).jpg,Does this brain image contain a tumor?,Tumor not found in this image.,Identify the tumor type in this scan.,No tumor present.,In which direction is this MRI taken?,Axial slice is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(92).jpg,image(92).jpg,Is there a tumor visible in this scan?,The image does not show a tumor.,What is the detected tumor type?,No tumor present.,Which plane is shown in the image?,View type: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(93).jpg,image(93).jpg,Is the scan indicating the presence of a tumor?,No indication of tumor.,What is the classification of this tumor?,No tumor present.,What image type is displayed here?,View type: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(94).jpg,image(94).jpg,Is there a tumor visible in this scan?,No growth is present.,What does the scan indicate as tumor type?,No tumor present.,What kind of image view is this?,Orientation: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(95).jpg,image(95).jpg,Does this brain image contain a tumor?,The image does not show a tumor.,What is the classification of this tumor?,No tumor present.,Can you name the scan view type?,Axial plane is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(96).jpg,image(96).jpg,Can a tumor be observed in the image?,The image is tumor-free.,What kind of tumor is present in the image?,No tumor present.,Which anatomical plane is used?,View type: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(97).jpg,image(97).jpg,Does this MRI image show a tumor?,The scan appears normal.,What is the detected tumor type?,No tumor present.,Which plane is shown in the image?,Orientation: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(98).jpg,image(98).jpg,Is there a tumor visible in this scan?,No indication of tumor.,What kind of tumor is present in the image?,No tumor present.,Which anatomical plane is used?,This scan uses axial plane.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(99).jpg,image(99).jpg,Can you detect any tumor in this image?,The image is tumor-free.,What tumor subtype is this?,No tumor present.,What's the viewing angle here?,Orientation: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(100).jpg,image(100).jpg,Is the scan indicating the presence of a tumor?,No indication of tumor.,Identify the tumor type in this scan.,No tumor present.,In which direction is this MRI taken?,Orientation: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(101).jpg,image(101).jpg,Can a tumor be observed in the image?,"No, there is no tumor present.",What does the scan indicate as tumor type?,No tumor present.,What image type is displayed here?,Axial slice is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(102).jpg,image(102).jpg,Is there any abnormal growth in this MRI?,No tumor is detected here.,What tumor subtype is this?,No tumor present.,Which anatomical plane is used?,View type: sagittal.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(103).jpg,image(103).jpg,Does this brain image contain a tumor?,No tumor is detected here.,What tumor subtype is this?,No tumor present.,Which plane is shown in the image?,This scan uses axial plane.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(104).jpg,image(104).jpg,Does this brain image contain a tumor?,No indication of tumor.,What kind of tumor is present in the image?,No tumor present.,What is the view type of this image?,Axial perspective image.
Brain Tumor MRI,Brain Tumor MRI/Test/glioma_tumor/image(0).jpg,image(0).jpg,Is there a tumor visible in this scan?,"Yes, abnormal tissue is seen.",What specific tumor is present here?,Type of tumor: glioma.,What image type is displayed here?,The image is coronal.
Brain Tumor MRI,Brain Tumor MRI/Test/glioma_tumor/image(1).jpg,image(1).jpg,Can a tumor be observed in the image?,"Yes, a tumor is present.",Specify the tumor type visible here.,Detected tumor: glioma.,Can you name the scan view type?,Scan is from coronal direction.
Brain Tumor MRI,Brain Tumor MRI/Test/glioma_tumor/image(2).jpg,image(2).jpg,Is the scan indicating the presence of a tumor?,"Confirmed, tumor is present.",Specify the tumor type visible here.,This is classified as a glioma.,What is the imaging perspective?,The image is axial.
Brain Tumor MRI,Brain Tumor MRI/Test/glioma_tumor/image(3).jpg,image(3).jpg,Is there any abnormal growth in this MRI?,"Yes, abnormal tissue is seen.",Specify the tumor type visible here.,Type of tumor: glioma.,What image type is displayed here?,This scan uses axial plane.
Brain Tumor MRI,Brain Tumor MRI/Test/glioma_tumor/image(4).jpg,image(4).jpg,Does this MRI image show a tumor?,A tumor can be seen clearly.,What is the classification of this tumor?,This is classified as a glioma.,What is the imaging perspective?,Orientation: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/glioma_tumor/image(5).jpg,image(5).jpg,Is the scan indicating the presence of a tumor?,A tumor is visible in the image.,What is the classification of this tumor?,It is a glioma.,What's the viewing angle here?,Axial plane is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/glioma_tumor/image(6).jpg,image(6).jpg,Is there a tumor visible in this scan?,A tumor is visible in the image.,What specific tumor is present here?,This image displays a glioma tumor.,What is the view type of this image?,Scan is from axial direction.
Brain Tumor MRI,Brain Tumor MRI/Test/glioma_tumor/image(7).jpg,image(7).jpg,Can a tumor be observed in the image?,"Yes, this is a positive case for tumor.",Identify the tumor type in this scan.,It is a glioma.,Which plane is shown in the image?,Axial plane is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/glioma_tumor/image(8).jpg,image(8).jpg,Can you detect any tumor in this image?,"Confirmed, tumor is present.",What does the scan indicate as tumor type?,Glioma is the tumor type here.,What is the imaging perspective?,Axial type image.
Brain Tumor MRI,Brain Tumor MRI/Test/glioma_tumor/image(9).jpg,image(9).jpg,Does this brain image contain a tumor?,"Confirmed, tumor is present.",What is the detected tumor type?,Detected tumor: glioma.,What is the imaging perspective?,Coronal type image.
Brain Tumor MRI,Brain Tumor MRI/Test/glioma_tumor/image(10).jpg,image(10).jpg,Is there a tumor visible in this scan?,"Yes, this is a positive case for tumor.",Can you tell the type of tumor shown?,This image displays a glioma tumor.,In which direction is this MRI taken?,Sagittal slice is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/glioma_tumor/image(11).jpg,image(11).jpg,Does this MRI show signs of a tumor?,"Yes, it looks like there is a tumor.",Which tumor type does this image show?,Detected tumor: glioma.,What kind of image view is this?,The image is coronal.
Brain Tumor MRI,Brain Tumor MRI/Test/glioma_tumor/image(12).jpg,image(12).jpg,Does this MRI show signs of a tumor?,"Yes, it looks like there is a tumor.",What kind of tumor is present in the image?,This scan has glioma type.,Which plane is shown in the image?,View type: coronal.
Brain Tumor MRI,Brain Tumor MRI/Test/glioma_tumor/image(13).jpg,image(13).jpg,Is this an example of a tumorous brain scan?,"Yes, tumor identified.",Specify the tumor type visible here.,A glioma is present in this scan.,Can you name the scan view type?,This scan uses coronal plane.
Brain Tumor MRI,Brain Tumor MRI/Test/glioma_tumor/image(14).jpg,image(14).jpg,Is the scan indicating the presence of a tumor?,"Indeed, the scan shows a tumor.",What is the classification of this tumor?,It is a glioma.,What's the viewing angle here?,View type: coronal.
Brain Tumor MRI,Brain Tumor MRI/Test/glioma_tumor/image(15).jpg,image(15).jpg,Does this MRI image show a tumor?,A tumor is visible in the image.,What kind of tumor is present in the image?,It is a glioma.,Which plane is shown in the image?,The image is coronal.
Brain Tumor MRI,Brain Tumor MRI/Test/glioma_tumor/image(16).jpg,image(16).jpg,Does this brain image contain a tumor?,"Yes, tumor identified.",Identify the tumor type in this scan.,This is classified as a glioma.,What is the imaging perspective?,View type: sagittal.
