dataset_name,path,image,question_1,answer_1,question_2,answer_2,question_3,answer_3
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0023.jpg,Te-no_0023.jpg,Does this MRI show signs of a tumor?,No growth is present.,Identify the tumor type in this scan.,No tumor present.,In which direction is this MRI taken?,Orientation: axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0024.jpg,Te-no_0024.jpg,Can you detect any tumor in this image?,There’s no abnormality in the image.,Specify the tumor type visible here.,No tumor present.,Which plane is shown in the image?,Scan is from axial direction.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0025.jpg,Te-no_0025.jpg,Is there a tumor visible in this scan?,Tumor not found in this image.,What kind of tumor is present in the image?,No tumor present.,What image type is displayed here?,This is a coronal view.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0026.jpg,Te-no_0026.jpg,Is this an example of a tumorous brain scan?,The image is tumor-free.,What specific tumor is present here?,No tumor present.,In which direction is this MRI taken?,View type: axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0027.jpg,Te-no_0027.jpg,Is this an example of a tumorous brain scan?,The scan appears normal.,Which tumor type does this image show?,No tumor present.,What's the viewing angle here?,Axial plane is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0028.jpg,Te-no_0028.jpg,Does this MRI show signs of a tumor?,No tumor can be seen.,What is the detected tumor type?,No tumor present.,What kind of image view is this?,Axial plane is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0029.jpg,Te-no_0029.jpg,Does this brain image contain a tumor?,"No, there is no tumor present.",What tumor subtype is this?,No tumor present.,Can you name the scan view type?,Coronal slice is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0030.jpg,Te-no_0030.jpg,Can a tumor be observed in the image?,No indication of tumor.,What kind of tumor is present in the image?,No tumor present.,What's the viewing angle here?,Axial plane is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0031.jpg,Te-no_0031.jpg,Does this MRI show signs of a tumor?,No indication of tumor.,What does the scan indicate as tumor type?,No tumor present.,Which anatomical plane is used?,View type: axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0032.jpg,Te-no_0032.jpg,Can you detect any tumor in this image?,Tumor not found in this image.,What specific tumor is present here?,No tumor present.,What kind of image view is this?,This is an axial view.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0033.jpg,Te-no_0033.jpg,Is this an example of a tumorous brain scan?,The scan appears normal.,Can you tell the type of tumor shown?,No tumor present.,In which direction is this MRI taken?,This is an axial view.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0034.jpg,Te-no_0034.jpg,Is this an example of a tumorous brain scan?,The image is tumor-free.,Identify the tumor type in this scan.,No tumor present.,What image type is displayed here?,The image is axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0035.jpg,Te-no_0035.jpg,Can a tumor be observed in the image?,No indication of tumor.,Which tumor type does this image show?,No tumor present.,What is the view type of this image?,Scan is from axial direction.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0036.jpg,Te-no_0036.jpg,Does this MRI show signs of a tumor?,"No, there is no tumor present.",Can you tell the type of tumor shown?,No tumor present.,Which anatomical plane is used?,This scan uses axial plane.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0037.jpg,Te-no_0037.jpg,Does this brain image contain a tumor?,No tumor is detected here.,Identify the tumor type in this scan.,No tumor present.,Which plane is shown in the image?,Axial slice is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0038.jpg,Te-no_0038.jpg,Is there a tumor visible in this scan?,The image is tumor-free.,Specify the tumor type visible here.,No tumor present.,Identify the image orientation.,View type: sagittal.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0039.jpg,Te-no_0039.jpg,Does this MRI show signs of a tumor?,The image is tumor-free.,Specify the tumor type visible here.,No tumor present.,Identify the image orientation.,View type: axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0040.jpg,Te-no_0040.jpg,Can you detect any tumor in this image?,"No, there is no tumor present.",Identify the tumor type in this scan.,No tumor present.,What kind of image view is this?,The image is axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0041.jpg,Te-no_0041.jpg,Can you detect any tumor in this image?,Tumor not found in this image.,What is the detected tumor type?,No tumor present.,What is the imaging perspective?,Axial plane is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0042.jpg,Te-no_0042.jpg,Is a tumor present in the scan provided?,The scan appears normal.,Which tumor type does this image show?,No tumor present.,What kind of image view is this?,This is an axial view.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0043.jpg,Te-no_0043.jpg,Is there a tumor visible in this scan?,There’s no abnormality in the image.,What specific tumor is present here?,No tumor present.,In which direction is this MRI taken?,This scan uses axial plane.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0044.jpg,Te-no_0044.jpg,Does this MRI image show a tumor?,The image is tumor-free.,Which tumor type does this image show?,No tumor present.,What kind of image view is this?,This is an axial view.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0045.jpg,Te-no_0045.jpg,Is the scan indicating the presence of a tumor?,The image does not show a tumor.,What kind of tumor is present in the image?,No tumor present.,In which direction is this MRI taken?,Scan is from axial direction.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0046.jpg,Te-no_0046.jpg,Is this an example of a tumorous brain scan?,The scan appears normal.,Which tumor type does this image show?,No tumor present.,What is the view type of this image?,This scan uses axial plane.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0047.jpg,Te-no_0047.jpg,Does this MRI image show a tumor?,The image does not show a tumor.,What specific tumor is present here?,No tumor present.,What kind of image view is this?,View type: axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0048.jpg,Te-no_0048.jpg,Does this MRI show signs of a tumor?,No tumor is detected here.,Can you tell the type of tumor shown?,No tumor present.,What image type is displayed here?,View type: axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0049.jpg,Te-no_0049.jpg,Is there a tumor visible in this scan?,No growth is present.,What is the classification of this tumor?,No tumor present.,Identify the image orientation.,This is a coronal view.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0050.jpg,Te-no_0050.jpg,Does this brain image contain a tumor?,The image is tumor-free.,What is the detected tumor type?,No tumor present.,What image type is displayed here?,The image is axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0051.jpg,Te-no_0051.jpg,Is there a tumor visible in this scan?,The image is tumor-free.,What does the scan indicate as tumor type?,No tumor present.,What kind of image view is this?,Orientation: axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0052.jpg,Te-no_0052.jpg,Can a tumor be observed in the image?,No growth is present.,What kind of tumor is present in the image?,No tumor present.,Which plane is shown in the image?,The image is axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0053.jpg,Te-no_0053.jpg,Does this MRI image show a tumor?,No tumor is detected here.,Specify the tumor type visible here.,No tumor present.,What kind of image view is this?,Axial perspective image.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0054.jpg,Te-no_0054.jpg,Can a tumor be observed in the image?,No tumor can be seen.,What tumor subtype is this?,No tumor present.,What kind of image view is this?,Axial slice is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0055.jpg,Te-no_0055.jpg,Can you detect any tumor in this image?,The image does not show a tumor.,What does the scan indicate as tumor type?,No tumor present.,What is the view type of this image?,Axial slice is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0056.jpg,Te-no_0056.jpg,Can you detect any tumor in this image?,No tumor is detected here.,Which tumor type does this image show?,No tumor present.,What image type is displayed here?,Axial type image.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0057.jpg,Te-no_0057.jpg,Is a tumor present in the scan provided?,The scan appears normal.,Specify the tumor type visible here.,No tumor present.,Which plane is shown in the image?,Axial plane is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0058.jpg,Te-no_0058.jpg,Does this brain image contain a tumor?,There’s no abnormality in the image.,What specific tumor is present here?,No tumor present.,What image type is displayed here?,This scan uses axial plane.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0059.jpg,Te-no_0059.jpg,Is a tumor present in the scan provided?,No indication of tumor.,What specific tumor is present here?,No tumor present.,Which anatomical plane is used?,Axial slice is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0060.jpg,Te-no_0060.jpg,Can a tumor be observed in the image?,No indication of tumor.,What specific tumor is present here?,No tumor present.,Which plane is shown in the image?,View type: axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0061.jpg,Te-no_0061.jpg,Does this brain image contain a tumor?,Tumor not found in this image.,What is the classification of this tumor?,No tumor present.,What kind of image view is this?,The image is axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0062.jpg,Te-no_0062.jpg,Is there a tumor visible in this scan?,"No, there is no tumor present.",What does the scan indicate as tumor type?,No tumor present.,What is the view type of this image?,The image is axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0063.jpg,Te-no_0063.jpg,Is this an example of a tumorous brain scan?,No tumor can be seen.,Which tumor type does this image show?,No tumor present.,In which direction is this MRI taken?,This is an axial view.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0064.jpg,Te-no_0064.jpg,Is this an example of a tumorous brain scan?,The scan appears normal.,Which tumor type does this image show?,No tumor present.,In which direction is this MRI taken?,This scan uses axial plane.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0065.jpg,Te-no_0065.jpg,Is this an example of a tumorous brain scan?,No growth is present.,What tumor subtype is this?,No tumor present.,What is the view type of this image?,Axial slice is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0066.jpg,Te-no_0066.jpg,Is this an example of a tumorous brain scan?,No tumor is detected here.,What does the scan indicate as tumor type?,No tumor present.,Can you name the scan view type?,Scan is from axial direction.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0067.jpg,Te-no_0067.jpg,Can a tumor be observed in the image?,The image is tumor-free.,What kind of tumor is present in the image?,No tumor present.,Which anatomical plane is used?,Axial perspective image.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0068.jpg,Te-no_0068.jpg,Is there a tumor visible in this scan?,"No, there is no tumor present.",Specify the tumor type visible here.,No tumor present.,In which direction is this MRI taken?,Axial type image.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0069.jpg,Te-no_0069.jpg,Is the scan indicating the presence of a tumor?,No growth is present.,Specify the tumor type visible here.,No tumor present.,What is the imaging perspective?,View type: coronal.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0070.jpg,Te-no_0070.jpg,Is a tumor present in the scan provided?,No tumor can be seen.,Specify the tumor type visible here.,No tumor present.,What image type is displayed here?,This scan uses axial plane.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0071.jpg,Te-no_0071.jpg,Is there any abnormal growth in this MRI?,No growth is present.,What is the detected tumor type?,No tumor present.,Can you name the scan view type?,The image is axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0072.jpg,Te-no_0072.jpg,Is this an example of a tumorous brain scan?,There’s no abnormality in the image.,Which tumor type does this image show?,No tumor present.,What is the view type of this image?,This is an axial view.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0073.jpg,Te-no_0073.jpg,Can you detect any tumor in this image?,Tumor not found in this image.,What tumor subtype is this?,No tumor present.,Which anatomical plane is used?,Axial slice is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0074.jpg,Te-no_0074.jpg,Can a tumor be observed in the image?,No growth is present.,What specific tumor is present here?,No tumor present.,What is the view type of this image?,View type: axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0075.jpg,Te-no_0075.jpg,Is there a tumor visible in this scan?,"No, there is no tumor present.",What specific tumor is present here?,No tumor present.,What's the viewing angle here?,Scan is from axial direction.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0076.jpg,Te-no_0076.jpg,Is there a tumor visible in this scan?,No growth is present.,What is the detected tumor type?,No tumor present.,What's the viewing angle here?,Axial perspective image.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0077.jpg,Te-no_0077.jpg,Is there a tumor visible in this scan?,"No, there is no tumor present.",What kind of tumor is present in the image?,No tumor present.,Can you name the scan view type?,The image is axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0078.jpg,Te-no_0078.jpg,Is a tumor present in the scan provided?,There’s no abnormality in the image.,What tumor subtype is this?,No tumor present.,In which direction is this MRI taken?,Scan is from axial direction.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0079.jpg,Te-no_0079.jpg,Is a tumor present in the scan provided?,The scan appears normal.,What specific tumor is present here?,No tumor present.,What is the view type of this image?,The image is axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0080.jpg,Te-no_0080.jpg,Is this an example of a tumorous brain scan?,The image does not show a tumor.,What is the detected tumor type?,No tumor present.,Can you name the scan view type?,Axial perspective image.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0081.jpg,Te-no_0081.jpg,Is a tumor present in the scan provided?,There’s no abnormality in the image.,What specific tumor is present here?,No tumor present.,What is the view type of this image?,Axial plane is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0082.jpg,Te-no_0082.jpg,Does this MRI image show a tumor?,The image does not show a tumor.,What is the classification of this tumor?,No tumor present.,What's the viewing angle here?,Axial type image.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0083.jpg,Te-no_0083.jpg,Can you detect any tumor in this image?,No tumor is detected here.,What tumor subtype is this?,No tumor present.,What is the imaging perspective?,Axial perspective image.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0084.jpg,Te-no_0084.jpg,Does this MRI image show a tumor?,The image is tumor-free.,What tumor subtype is this?,No tumor present.,What is the view type of this image?,Axial perspective image.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0085.jpg,Te-no_0085.jpg,Does this brain image contain a tumor?,There’s no abnormality in the image.,Which tumor type does this image show?,No tumor present.,In which direction is this MRI taken?,View type: sagittal.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0086.jpg,Te-no_0086.jpg,Is a tumor present in the scan provided?,No indication of tumor.,What tumor subtype is this?,No tumor present.,What is the imaging perspective?,Axial slice is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0087.jpg,Te-no_0087.jpg,Is this an example of a tumorous brain scan?,The image does not show a tumor.,What specific tumor is present here?,No tumor present.,What image type is displayed here?,Axial plane is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0088.jpg,Te-no_0088.jpg,Does this MRI image show a tumor?,No tumor can be seen.,What kind of tumor is present in the image?,No tumor present.,What is the imaging perspective?,Axial slice is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0089.jpg,Te-no_0089.jpg,Is a tumor present in the scan provided?,The scan appears normal.,Can you tell the type of tumor shown?,No tumor present.,What is the imaging perspective?,Axial type image.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0090.jpg,Te-no_0090.jpg,Is there a tumor visible in this scan?,No indication of tumor.,What is the detected tumor type?,No tumor present.,What kind of image view is this?,Axial slice is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0091.jpg,Te-no_0091.jpg,Can you detect any tumor in this image?,No growth is present.,What is the detected tumor type?,No tumor present.,Identify the image orientation.,Scan is from axial direction.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0092.jpg,Te-no_0092.jpg,Is there any abnormal growth in this MRI?,No tumor can be seen.,What is the classification of this tumor?,No tumor present.,What kind of image view is this?,Axial plane is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0093.jpg,Te-no_0093.jpg,Is there any abnormal growth in this MRI?,The image does not show a tumor.,Which tumor type does this image show?,No tumor present.,Can you name the scan view type?,The image is axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0094.jpg,Te-no_0094.jpg,Is there a tumor visible in this scan?,Tumor not found in this image.,Which tumor type does this image show?,No tumor present.,Which plane is shown in the image?,Axial perspective image.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0095.jpg,Te-no_0095.jpg,Is there any abnormal growth in this MRI?,The image does not show a tumor.,What kind of tumor is present in the image?,No tumor present.,Which anatomical plane is used?,This scan uses axial plane.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0096.jpg,Te-no_0096.jpg,Is there a tumor visible in this scan?,"No, there is no tumor present.",Can you tell the type of tumor shown?,No tumor present.,What image type is displayed here?,Axial plane is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0097.jpg,Te-no_0097.jpg,Can you detect any tumor in this image?,Tumor not found in this image.,What specific tumor is present here?,No tumor present.,Which plane is shown in the image?,Orientation: axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0098.jpg,Te-no_0098.jpg,Does this MRI image show a tumor?,Tumor not found in this image.,Which tumor type does this image show?,No tumor present.,Which anatomical plane is used?,Axial plane is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0099.jpg,Te-no_0099.jpg,Is this an example of a tumorous brain scan?,No tumor is detected here.,Identify the tumor type in this scan.,No tumor present.,Identify the image orientation.,Orientation: axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0100.jpg,Te-no_0100.jpg,Is there any abnormal growth in this MRI?,The scan appears normal.,What kind of tumor is present in the image?,No tumor present.,What kind of image view is this?,Scan is from axial direction.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0101.jpg,Te-no_0101.jpg,Can a tumor be observed in the image?,No tumor is detected here.,Can you tell the type of tumor shown?,No tumor present.,In which direction is this MRI taken?,Scan is from axial direction.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0102.jpg,Te-no_0102.jpg,Is there any abnormal growth in this MRI?,The image is tumor-free.,What specific tumor is present here?,No tumor present.,Can you name the scan view type?,Orientation: axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0103.jpg,Te-no_0103.jpg,Does this brain image contain a tumor?,No tumor is detected here.,Can you tell the type of tumor shown?,No tumor present.,What kind of image view is this?,Orientation: axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0104.jpg,Te-no_0104.jpg,Does this MRI show signs of a tumor?,The scan appears normal.,Specify the tumor type visible here.,No tumor present.,Identify the image orientation.,Orientation: axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0105.jpg,Te-no_0105.jpg,Can you detect any tumor in this image?,The image does not show a tumor.,Which tumor type does this image show?,No tumor present.,What kind of image view is this?,Axial plane is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0106.jpg,Te-no_0106.jpg,Is there any abnormal growth in this MRI?,Tumor not found in this image.,What specific tumor is present here?,No tumor present.,Which plane is shown in the image?,Axial slice is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0107.jpg,Te-no_0107.jpg,Is there any abnormal growth in this MRI?,No growth is present.,Can you tell the type of tumor shown?,No tumor present.,What kind of image view is this?,Axial slice is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0108.jpg,Te-no_0108.jpg,Is there a tumor visible in this scan?,The image does not show a tumor.,What kind of tumor is present in the image?,No tumor present.,What image type is displayed here?,This scan uses axial plane.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0109.jpg,Te-no_0109.jpg,Does this MRI image show a tumor?,No indication of tumor.,What is the classification of this tumor?,No tumor present.,What kind of image view is this?,Axial perspective image.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0110.jpg,Te-no_0110.jpg,Is the scan indicating the presence of a tumor?,Tumor not found in this image.,Can you tell the type of tumor shown?,No tumor present.,What kind of image view is this?,View type: axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0111.jpg,Te-no_0111.jpg,Is there any abnormal growth in this MRI?,Tumor not found in this image.,What is the classification of this tumor?,No tumor present.,What image type is displayed here?,Axial plane is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0112.jpg,Te-no_0112.jpg,Does this MRI image show a tumor?,No tumor can be seen.,What is the detected tumor type?,No tumor present.,Identify the image orientation.,The image is axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0113.jpg,Te-no_0113.jpg,Is there a tumor visible in this scan?,"No, there is no tumor present.",What tumor subtype is this?,No tumor present.,Identify the image orientation.,Axial slice is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0114.jpg,Te-no_0114.jpg,Is there a tumor visible in this scan?,There’s no abnormality in the image.,Can you tell the type of tumor shown?,No tumor present.,What image type is displayed here?,Axial plane is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0115.jpg,Te-no_0115.jpg,Can you detect any tumor in this image?,No growth is present.,What is the detected tumor type?,No tumor present.,What's the viewing angle here?,Axial perspective image.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0116.jpg,Te-no_0116.jpg,Is a tumor present in the scan provided?,No indication of tumor.,What is the detected tumor type?,No tumor present.,Can you name the scan view type?,Axial type image.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0117.jpg,Te-no_0117.jpg,Is there a tumor visible in this scan?,No indication of tumor.,What is the classification of this tumor?,No tumor present.,Which anatomical plane is used?,Axial perspective image.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0118.jpg,Te-no_0118.jpg,Is there any abnormal growth in this MRI?,"No, there is no tumor present.",What specific tumor is present here?,No tumor present.,What is the imaging perspective?,Scan is from axial direction.
