id,image_path,question_type,question_prompt,gt_question,gt_answer,model_output
15,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0014.jpg,image_type,Provide short and direct answer for the user's question.What is the imaging perspective?,What is the imaging perspective?,Axial perspective image.,"```json
{
  ""answer"": ""Axial""
}
```"
16,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0015.jpg,tumor_presence,Provide short and direct answer for the user's question.Can a tumor be observed in the image?,Can a tumor be observed in the image?,The image does not show a tumor.,"```json
{
  ""answer"": ""No""
}
```"
17,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0015.jpg,tumor_type,Provide short and direct answer for the user's question.What kind of tumor is present in the image?,What kind of tumor is present in the image?,No tumor present.,"```json
{
  ""answer"": ""The image shows a brain MRI, but the specific type of tumor cannot be determined from this image alone. A detailed analysis by a radiologist is required to identify the type of tumor present.""
}
```"
18,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0015.jpg,image_type,Provide short and direct answer for the user's question.What is the view type of this image?,What is the view type of this image?,The image is sagittal.,"```json
{
  ""answer"": ""Axial""
}
```"
19,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0016.jpg,tumor_presence,Provide short and direct answer for the user's question.Is the scan indicating the presence of a tumor?,Is the scan indicating the presence of a tumor?,The scan appears normal.,"```json
{
  ""answer"": ""No""
}
```"
20,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0016.jpg,tumor_type,Provide short and direct answer for the user's question.What is the detected tumor type?,What is the detected tumor type?,No tumor present.,"```json
{
  ""answer"": ""glioblastoma""
}
```"
21,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0016.jpg,image_type,Provide short and direct answer for the user's question.What is the imaging perspective?,What is the imaging perspective?,Scan is from axial direction.,"```json
{
  ""answer"": ""Axial""
}
```"
22,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0017.jpg,tumor_presence,Provide short and direct answer for the user's question.Can you detect any tumor in this image?,Can you detect any tumor in this image?,No tumor is detected here.,"```json
{
  ""answer"": ""No""
}
```"
23,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0017.jpg,tumor_type,Provide short and direct answer for the user's question.What is the classification of this tumor?,What is the classification of this tumor?,No tumor present.,"```json
{
  ""answer"": ""Glioblastoma""
}
```"
24,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0017.jpg,image_type,Provide short and direct answer for the user's question.What is the imaging perspective?,What is the imaging perspective?,Orientation: axial.,"```json
{
  ""answer"": ""Axial""
}
```"
25,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0018.jpg,tumor_presence,Provide short and direct answer for the user's question.Is the scan indicating the presence of a tumor?,Is the scan indicating the presence of a tumor?,Tumor not found in this image.,"```json
{
  ""answer"": ""No""
}
```"
26,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0018.jpg,tumor_type,Provide short and direct answer for the user's question.What specific tumor is present here?,What specific tumor is present here?,No tumor present.,"```json
{
  ""answer"": ""The image provided is a T1-weighted MRI of the brain, which shows a mass lesion in the left temporal lobe. However, without additional clinical information and contrast imaging, it is not possible to definitively diagnose the specific type of tumor. The lesion appears to be hypointense on T1-weighted images, which is characteristic of a glioma, but further evaluation with contrast and other imaging sequences is necessary for a precise diagnosis.""
}
```"
27,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0018.jpg,image_type,Provide short and direct answer for the user's question.What is the imaging perspective?,What is the imaging perspective?,Axial slice is shown.,"```json
{
  ""answer"": ""Axial""
}
```"
28,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0019.jpg,tumor_presence,Provide short and direct answer for the user's question.Is a tumor present in the scan provided?,Is a tumor present in the scan provided?,No growth is present.,"```json
{
  ""answer"": ""No""
}
```"
29,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0019.jpg,tumor_type,Provide short and direct answer for the user's question.Which tumor type does this image show?,Which tumor type does this image show?,No tumor present.,"```json
{
  ""answer"": ""glioblastoma""
}
```"
30,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0019.jpg,image_type,Provide short and direct answer for the user's question.Identify the image orientation.,Identify the image orientation.,This scan uses axial plane.,"```json
{
  ""answer"": ""The image is in the axial orientation.""
}
```"
31,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0020.jpg,tumor_presence,Provide short and direct answer for the user's question.Is there a tumor visible in this scan?,Is there a tumor visible in this scan?,The image is tumor-free.,"```json
{
  ""answer"": ""No""
}
```"
32,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0020.jpg,tumor_type,Provide short and direct answer for the user's question.What kind of tumor is present in the image?,What kind of tumor is present in the image?,No tumor present.,"```json
{
  ""answer"": ""The image shows a mass in the right temporal lobe, which could be a variety of tumors. However, without additional clinical information and imaging details, it is not possible to definitively diagnose the type of tumor. A biopsy or further imaging with contrast and other sequences would be necessary for a precise diagnosis.""
}
```"
33,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0020.jpg,image_type,Provide short and direct answer for the user's question.In which direction is this MRI taken?,In which direction is this MRI taken?,Axial plane is shown.,"```json
{
  ""answer"": ""Coronal""
}
```"
34,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0021.jpg,tumor_presence,Provide short and direct answer for the user's question.Does this MRI show signs of a tumor?,Does this MRI show signs of a tumor?,Tumor not found in this image.,"```json
{
  ""answer"": ""No""
}
```"
35,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0021.jpg,tumor_type,Provide short and direct answer for the user's question.Specify the tumor type visible here.,Specify the tumor type visible here.,No tumor present.,"```json
{
  ""answer"": ""glioblastoma""
}
```"
36,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0021.jpg,image_type,Provide short and direct answer for the user's question.What image type is displayed here?,What image type is displayed here?,The image is axial.,"```json
{
  ""answer"": ""MRI""
}
```"
37,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0022.jpg,tumor_presence,Provide short and direct answer for the user's question.Does this MRI show signs of a tumor?,Does this MRI show signs of a tumor?,No tumor is detected here.,"```json
{
  ""answer"": ""No""
}
```"
38,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0022.jpg,tumor_type,Provide short and direct answer for the user's question.Can you tell the type of tumor shown?,Can you tell the type of tumor shown?,No tumor present.,"```json
{
  ""answer"": ""No, the image provided is a T2-weighted MRI scan of the brain, which is commonly used to visualize brain tumors. However, without additional clinical information and a detailed analysis by a radiologist, it is not possible to definitively identify the type of tumor shown in the image.""
}
```"
39,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0022.jpg,image_type,Provide short and direct answer for the user's question.Which plane is shown in the image?,Which plane is shown in the image?,Orientation: axial.,"```json
{
  ""answer"": ""Axial""
}
```"
40,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0023.jpg,tumor_presence,Provide short and direct answer for the user's question.Does this MRI show signs of a tumor?,Does this MRI show signs of a tumor?,No growth is present.,"```json
{
  ""answer"": ""No""
}
```"
41,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0023.jpg,tumor_type,Provide short and direct answer for the user's question.Identify the tumor type in this scan.,Identify the tumor type in this scan.,No tumor present.,"```json
{
  ""answer"": ""Glioblastoma""
}
```"
42,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0023.jpg,image_type,Provide short and direct answer for the user's question.In which direction is this MRI taken?,In which direction is this MRI taken?,Orientation: axial.,"```json
{
  ""answer"": ""Coronal""
}
```"
43,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0024.jpg,tumor_presence,Provide short and direct answer for the user's question.Can you detect any tumor in this image?,Can you detect any tumor in this image?,There’s no abnormality in the image.,"```json
{
  ""answer"": ""No""
}
```"
44,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0024.jpg,tumor_type,Provide short and direct answer for the user's question.Specify the tumor type visible here.,Specify the tumor type visible here.,No tumor present.,"```json
{
  ""answer"": ""glioblastoma""
}
```"
45,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0024.jpg,image_type,Provide short and direct answer for the user's question.Which plane is shown in the image?,Which plane is shown in the image?,Scan is from axial direction.,"```json
{
  ""answer"": ""Axial""
}
```"
46,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0025.jpg,tumor_presence,Provide short and direct answer for the user's question.Is there a tumor visible in this scan?,Is there a tumor visible in this scan?,Tumor not found in this image.,"```json
{
  ""answer"": ""No""
}
```"
47,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0025.jpg,tumor_type,Provide short and direct answer for the user's question.What kind of tumor is present in the image?,What kind of tumor is present in the image?,No tumor present.,"```json
{
  ""answer"": ""The image shows a tumor in the brain, but the specific type of tumor cannot be determined from the image alone. A detailed medical evaluation by a healthcare professional is required for accurate diagnosis.""
}
```"
48,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0025.jpg,image_type,Provide short and direct answer for the user's question.What image type is displayed here?,What image type is displayed here?,This is a coronal view.,"```json
{
  ""answer"": ""MRI""
}
```"
49,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0026.jpg,tumor_presence,Provide short and direct answer for the user's question.Is this an example of a tumorous brain scan?,Is this an example of a tumorous brain scan?,The image is tumor-free.,"```json
{
  ""answer"": ""No""
}
```"
50,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0026.jpg,tumor_type,Provide short and direct answer for the user's question.What specific tumor is present here?,What specific tumor is present here?,No tumor present.,"```json
{
  ""answer"": ""The image provided is a T1-weighted MRI of the brain, which is commonly used to visualize tumors. However, without additional clinical information and a detailed analysis by a radiologist, it is not possible to definitively identify the specific type of tumor present. The image shows a mass lesion in the right temporal lobe, which could be indicative of various types of tumors, including gliomas, meningiomas, or metastatic lesions. A definitive diagnosis would require further imaging with contrast, additional MRI sequences, and possibly a biopsy.""
}
```"
51,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0026.jpg,image_type,Provide short and direct answer for the user's question.In which direction is this MRI taken?,In which direction is this MRI taken?,View type: axial.,"```json
{
  ""answer"": ""Coronal""
}
```"
52,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0027.jpg,tumor_presence,Provide short and direct answer for the user's question.Is this an example of a tumorous brain scan?,Is this an example of a tumorous brain scan?,The scan appears normal.,"```json
{
  ""answer"": ""Yes""
}
```"
53,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0027.jpg,tumor_type,Provide short and direct answer for the user's question.Which tumor type does this image show?,Which tumor type does this image show?,No tumor present.,"```json
{
  ""answer"": ""glioblastoma""
}
```"
54,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0027.jpg,image_type,Provide short and direct answer for the user's question.What's the viewing angle here?,What's the viewing angle here?,Axial plane is shown.,"```json
{
  ""answer"": ""axial""
}
```"
55,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0028.jpg,tumor_presence,Provide short and direct answer for the user's question.Does this MRI show signs of a tumor?,Does this MRI show signs of a tumor?,No tumor can be seen.,"```json
{
  ""answer"": ""No""
}
```"
56,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0028.jpg,tumor_type,Provide short and direct answer for the user's question.What is the detected tumor type?,What is the detected tumor type?,No tumor present.,"```json
{
  ""answer"": ""glioma""
}
```"
57,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0028.jpg,image_type,Provide short and direct answer for the user's question.What kind of image view is this?,What kind of image view is this?,Axial plane is shown.,"```json
{
  ""answer"": ""Axial""
}
```"
58,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0029.jpg,tumor_presence,Provide short and direct answer for the user's question.Does this brain image contain a tumor?,Does this brain image contain a tumor?,"No, there is no tumor present.","```json
{
  ""answer"": ""No""
}
```"
59,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0029.jpg,tumor_type,Provide short and direct answer for the user's question.What tumor subtype is this?,What tumor subtype is this?,No tumor present.,"```json
{
  ""answer"": ""This image appears to be a T1-weighted MRI of the brain, which is commonly used to visualize tumors. However, without additional clinical information and a detailed analysis by a radiologist, it is not possible to definitively identify the tumor subtype. The image shows a mass in the left temporal lobe, which could be indicative of various types of tumors such as gliomas, meningiomas, or metastatic lesions. A definitive diagnosis would require a combination of clinical history, imaging, and possibly biopsy results.""
}
```"
60,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0029.jpg,image_type,Provide short and direct answer for the user's question.Can you name the scan view type?,Can you name the scan view type?,Coronal slice is shown.,"```json
{
  ""answer"": ""Axial""
}
```"
61,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0030.jpg,tumor_presence,Provide short and direct answer for the user's question.Can a tumor be observed in the image?,Can a tumor be observed in the image?,No indication of tumor.,"```json
{
  ""answer"": ""No""
}
```"
62,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0030.jpg,tumor_type,Provide short and direct answer for the user's question.What kind of tumor is present in the image?,What kind of tumor is present in the image?,No tumor present.,"```json
{
  ""answer"": ""No tumor is present in the image. The image shows a normal brain MRI scan.""
}
```"
63,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0030.jpg,image_type,Provide short and direct answer for the user's question.What's the viewing angle here?,What's the viewing angle here?,Axial plane is shown.,"```json
{
  ""answer"": ""Coronal""
}
```"
64,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0031.jpg,tumor_presence,Provide short and direct answer for the user's question.Does this MRI show signs of a tumor?,Does this MRI show signs of a tumor?,No indication of tumor.,"```json
{
  ""answer"": ""No""
}
```"
65,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0031.jpg,tumor_type,Provide short and direct answer for the user's question.What does the scan indicate as tumor type?,What does the scan indicate as tumor type?,No tumor present.,"```json
{
  ""answer"": ""The image provided is a T2-weighted MRI scan of the brain, which is commonly used to identify various types of brain tumors. However, without additional clinical information, imaging characteristics, and a detailed analysis by a radiologist, it is not possible to definitively determine the type of tumor. T2-weighted images can show differences in signal intensity that may suggest certain tumor types, but a precise diagnosis typically requires a combination of imaging, clinical history, and possibly biopsy results.""
}
```"
66,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0031.jpg,image_type,Provide short and direct answer for the user's question.Which anatomical plane is used?,Which anatomical plane is used?,View type: axial.,"```json
{
  ""answer"": ""Axial""
}
```"
67,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0032.jpg,tumor_presence,Provide short and direct answer for the user's question.Can you detect any tumor in this image?,Can you detect any tumor in this image?,Tumor not found in this image.,"```json
{
  ""answer"": ""No""
}
```"
68,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0032.jpg,tumor_type,Provide short and direct answer for the user's question.What specific tumor is present here?,What specific tumor is present here?,No tumor present.,"```json
{
  ""answer"": ""The image shows a glioblastoma multiforme (GBM), which is the most common and aggressive type of primary brain tumor.""
}
```"
69,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0032.jpg,image_type,Provide short and direct answer for the user's question.What kind of image view is this?,What kind of image view is this?,This is an axial view.,"```json
{
  ""answer"": ""Axial""
}
```"
70,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0033.jpg,tumor_presence,Provide short and direct answer for the user's question.Is this an example of a tumorous brain scan?,Is this an example of a tumorous brain scan?,The scan appears normal.,"```json
{
  ""answer"": ""Yes""
}
```"
71,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0033.jpg,tumor_type,Provide short and direct answer for the user's question.Can you tell the type of tumor shown?,Can you tell the type of tumor shown?,No tumor present.,"```json
{
  ""answer"": ""The image provided is a T1-weighted MRI scan of the brain, which is commonly used to visualize tumors. However, without additional clinical information and a more detailed analysis by a radiologist, it is not possible to definitively identify the type of tumor shown. The image shows a mass in the right temporal lobe, which could be indicative of various types of tumors, including gliomas, meningiomas, or metastatic tumors. A definitive diagnosis would require further imaging with contrast, additional MRI sequences, and possibly a biopsy.""
}
```"
72,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0033.jpg,image_type,Provide short and direct answer for the user's question.In which direction is this MRI taken?,In which direction is this MRI taken?,This is an axial view.,"```json
{
  ""answer"": ""Coronal""
}
```"
73,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0034.jpg,tumor_presence,Provide short and direct answer for the user's question.Is this an example of a tumorous brain scan?,Is this an example of a tumorous brain scan?,The image is tumor-free.,"```json
{
  ""answer"": ""No""
}
```"
74,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0034.jpg,tumor_type,Provide short and direct answer for the user's question.Identify the tumor type in this scan.,Identify the tumor type in this scan.,No tumor present.,"```json
{
  ""answer"": ""glioblastoma multiforme""
}
```"
75,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0034.jpg,image_type,Provide short and direct answer for the user's question.What image type is displayed here?,What image type is displayed here?,The image is axial.,"```json
{
  ""answer"": ""CT scan""
}
```"
76,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0035.jpg,tumor_presence,Provide short and direct answer for the user's question.Can a tumor be observed in the image?,Can a tumor be observed in the image?,No indication of tumor.,"```json
{
  ""answer"": ""Yes""
}
```"
77,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0035.jpg,tumor_type,Provide short and direct answer for the user's question.Which tumor type does this image show?,Which tumor type does this image show?,No tumor present.,"```json
{
  ""answer"": ""Glioblastoma""
}
```"
78,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0035.jpg,image_type,Provide short and direct answer for the user's question.What is the view type of this image?,What is the view type of this image?,Scan is from axial direction.,"```json
{
  ""answer"": ""Axial""
}
```"
79,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0036.jpg,tumor_presence,Provide short and direct answer for the user's question.Does this MRI show signs of a tumor?,Does this MRI show signs of a tumor?,"No, there is no tumor present.","```json
{
  ""answer"": ""No""
}
```"
80,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0036.jpg,tumor_type,Provide short and direct answer for the user's question.Can you tell the type of tumor shown?,Can you tell the type of tumor shown?,No tumor present.,"```json
{
  ""answer"": ""No, the image provided is a CT scan of the brain, but it does not show a tumor. The image appears to be a normal CT scan of the brain without any visible abnormalities.""
}
```"
81,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0036.jpg,image_type,Provide short and direct answer for the user's question.Which anatomical plane is used?,Which anatomical plane is used?,This scan uses axial plane.,"```json
{
  ""answer"": ""Axial""
}
```"
82,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0037.jpg,tumor_presence,Provide short and direct answer for the user's question.Does this brain image contain a tumor?,Does this brain image contain a tumor?,No tumor is detected here.,"```json
{
  ""answer"": ""No""
}
```"
83,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0037.jpg,tumor_type,Provide short and direct answer for the user's question.Identify the tumor type in this scan.,Identify the tumor type in this scan.,No tumor present.,"```json
{
  ""answer"": ""Glioblastoma""
}
```"
84,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0037.jpg,image_type,Provide short and direct answer for the user's question.Which plane is shown in the image?,Which plane is shown in the image?,Axial slice is shown.,"```json
{
  ""answer"": ""Axial""
}
```"
85,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0038.jpg,tumor_presence,Provide short and direct answer for the user's question.Is there a tumor visible in this scan?,Is there a tumor visible in this scan?,The image is tumor-free.,"```json
{
  ""answer"": ""No""
}
```"
86,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0038.jpg,tumor_type,Provide short and direct answer for the user's question.Specify the tumor type visible here.,Specify the tumor type visible here.,No tumor present.,"```json
{
  ""answer"": ""Glioblastoma""
}
```"
87,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0038.jpg,image_type,Provide short and direct answer for the user's question.Identify the image orientation.,Identify the image orientation.,View type: sagittal.,"```json
{
  ""answer"": ""The image is in the sagittal orientation.""
}
```"
88,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0039.jpg,tumor_presence,Provide short and direct answer for the user's question.Does this MRI show signs of a tumor?,Does this MRI show signs of a tumor?,The image is tumor-free.,"```json
{
  ""answer"": ""No""
}
```"
89,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0039.jpg,tumor_type,Provide short and direct answer for the user's question.Specify the tumor type visible here.,Specify the tumor type visible here.,No tumor present.,"```json
{
  ""answer"": ""glioblastoma multiforme""
}
```"
90,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0039.jpg,image_type,Provide short and direct answer for the user's question.Identify the image orientation.,Identify the image orientation.,View type: axial.,"```json
{
  ""answer"": ""The image is in the axial orientation.""
}
```"
91,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0040.jpg,tumor_presence,Provide short and direct answer for the user's question.Can you detect any tumor in this image?,Can you detect any tumor in this image?,"No, there is no tumor present.","```json
{
  ""answer"": ""No""
}
```"
92,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0040.jpg,tumor_type,Provide short and direct answer for the user's question.Identify the tumor type in this scan.,Identify the tumor type in this scan.,No tumor present.,"```json
{
  ""answer"": ""glioblastoma multiforme""
}
```"
93,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0040.jpg,image_type,Provide short and direct answer for the user's question.What kind of image view is this?,What kind of image view is this?,The image is axial.,"```json
{
  ""answer"": ""Axial""
}
```"
94,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0041.jpg,tumor_presence,Provide short and direct answer for the user's question.Can you detect any tumor in this image?,Can you detect any tumor in this image?,Tumor not found in this image.,"```json
{
  ""answer"": ""No""
}
```"
