id,image_path,question_type,question_prompt,gt_question,gt_answer,model_output
11,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(3).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What kind of tumor is present in the image?,No tumor present.,No tumor present.
12,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(3).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What's the viewing angle here?,View type: axial.,Axial type image.
13,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(4).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Can you detect any tumor in this image?,No indication of tumor.,No tumor is detected here.
14,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(4).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What specific tumor is present here?,No tumor present.,No tumor present.
15,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(4).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Identify the image orientation.,Sagittal type image.,Sagittal perspective image.
16,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(5).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Can you detect any tumor in this image?,The image is tumor-free.,No tumor is detected here.
17,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(5).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Specify the tumor type visible here.,No tumor present.,No tumor present.
18,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(5).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What's the viewing angle here?,Scan is from coronal direction.,Coronal type image.
19,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(6).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Does this MRI image show a tumor?,No tumor is detected here.,No tumor is detected here.
20,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(6).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What is the detected tumor type?,No tumor present.,No tumor present.
21,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(6).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What is the view type of this image?,Axial perspective image.,Axial type image.
22,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(7).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Is a tumor present in the scan provided?,"No, there is no tumor present.","Yes, tumor identified."
23,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(7).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What is the detected tumor type?,No tumor present.,No tumor present.
24,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(7).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What kind of image view is this?,Axial slice is shown.,Axial plane is shown.
25,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(8).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Can you detect any tumor in this image?,"No, there is no tumor present.",No tumor is detected here.
26,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(8).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What tumor subtype is this?,No tumor present.,No tumor present.
27,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(8).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What image type is displayed here?,Axial type image.,Axial type image.
28,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(9).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Is there any abnormal growth in this MRI?,There’s no abnormality in the image.,No growth is present.
29,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(9).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What tumor subtype is this?,No tumor present.,No tumor present.
30,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(9).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What kind of image view is this?,Orientation: axial.,Axial type image.
31,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(10).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Can a tumor be observed in the image?,No growth is present.,No tumor can be seen.
32,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(10).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Can you tell the type of tumor shown?,No tumor present.,No tumor present.
33,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(10).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Which plane is shown in the image?,Axial plane is shown.,Axial type image.
34,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(11).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Is there a tumor visible in this scan?,There’s no abnormality in the image.,No tumor is detected here.
35,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(11).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Identify the tumor type in this scan.,No tumor present.,No tumor present.
36,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(11).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What's the viewing angle here?,View type: axial.,Axial type image.
37,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(12).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Can a tumor be observed in the image?,There’s no abnormality in the image.,No tumor is detected here.
38,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(12).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What tumor subtype is this?,No tumor present.,No tumor present.
39,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(12).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What is the imaging perspective?,Orientation: axial.,Axial perspective image.
40,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(13).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Does this MRI image show a tumor?,No tumor can be seen.,No tumor can be seen.
41,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(13).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What is the classification of this tumor?,No tumor present.,No tumor present.
42,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(13).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What kind of image view is this?,This is an axial view.,Axial plane is shown.
43,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(14).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Is there any abnormal growth in this MRI?,The image does not show a tumor.,No growth is present.
44,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(14).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Which tumor type does this image show?,No tumor present.,No tumor present.
45,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(14).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What kind of image view is this?,Scan is from axial direction.,Axial type image.
46,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(15).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Is there any abnormal growth in this MRI?,"No, there is no tumor present.",No growth is present.
47,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(15).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Which tumor type does this image show?,No tumor present.,No tumor present.
48,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(15).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What image type is displayed here?,View type: axial.,Axial plane is shown.
