dataset_name,path,image,question,answer,type
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0033.jpg,Te-no_0033.jpg,Is this an example of a tumorous brain scan?,The scan appears normal.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0034.jpg,Te-no_0034.jpg,Is this an example of a tumorous brain scan?,The image is tumor-free.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0035.jpg,Te-no_0035.jpg,Can a tumor be observed in the image?,No indication of tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0036.jpg,Te-no_0036.jpg,Does this MRI show signs of a tumor?,"No, there is no tumor present.",tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0037.jpg,Te-no_0037.jpg,Does this brain image contain a tumor?,No tumor is detected here.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0038.jpg,Te-no_0038.jpg,Is there a tumor visible in this scan?,The image is tumor-free.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0039.jpg,Te-no_0039.jpg,Does this MRI show signs of a tumor?,The image is tumor-free.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0040.jpg,Te-no_0040.jpg,Can you detect any tumor in this image?,"No, there is no tumor present.",tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0041.jpg,Te-no_0041.jpg,Can you detect any tumor in this image?,Tumor not found in this image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0042.jpg,Te-no_0042.jpg,Is a tumor present in the scan provided?,The scan appears normal.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0043.jpg,Te-no_0043.jpg,Is there a tumor visible in this scan?,There’s no abnormality in the image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0044.jpg,Te-no_0044.jpg,Does this MRI image show a tumor?,The image is tumor-free.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0045.jpg,Te-no_0045.jpg,Is the scan indicating the presence of a tumor?,The image does not show a tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0046.jpg,Te-no_0046.jpg,Is this an example of a tumorous brain scan?,The scan appears normal.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0047.jpg,Te-no_0047.jpg,Does this MRI image show a tumor?,The image does not show a tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0048.jpg,Te-no_0048.jpg,Does this MRI show signs of a tumor?,No tumor is detected here.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0049.jpg,Te-no_0049.jpg,Is there a tumor visible in this scan?,No growth is present.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0050.jpg,Te-no_0050.jpg,Does this brain image contain a tumor?,The image is tumor-free.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0051.jpg,Te-no_0051.jpg,Is there a tumor visible in this scan?,The image is tumor-free.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0052.jpg,Te-no_0052.jpg,Can a tumor be observed in the image?,No growth is present.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0053.jpg,Te-no_0053.jpg,Does this MRI image show a tumor?,No tumor is detected here.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0054.jpg,Te-no_0054.jpg,Can a tumor be observed in the image?,No tumor can be seen.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0055.jpg,Te-no_0055.jpg,Can you detect any tumor in this image?,The image does not show a tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0056.jpg,Te-no_0056.jpg,Can you detect any tumor in this image?,No tumor is detected here.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0057.jpg,Te-no_0057.jpg,Is a tumor present in the scan provided?,The scan appears normal.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0058.jpg,Te-no_0058.jpg,Does this brain image contain a tumor?,There’s no abnormality in the image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0059.jpg,Te-no_0059.jpg,Is a tumor present in the scan provided?,No indication of tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0060.jpg,Te-no_0060.jpg,Can a tumor be observed in the image?,No indication of tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0061.jpg,Te-no_0061.jpg,Does this brain image contain a tumor?,Tumor not found in this image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0062.jpg,Te-no_0062.jpg,Is there a tumor visible in this scan?,"No, there is no tumor present.",tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0063.jpg,Te-no_0063.jpg,Is this an example of a tumorous brain scan?,No tumor can be seen.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0064.jpg,Te-no_0064.jpg,Is this an example of a tumorous brain scan?,The scan appears normal.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0065.jpg,Te-no_0065.jpg,Is this an example of a tumorous brain scan?,No growth is present.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0066.jpg,Te-no_0066.jpg,Is this an example of a tumorous brain scan?,No tumor is detected here.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0067.jpg,Te-no_0067.jpg,Can a tumor be observed in the image?,The image is tumor-free.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0068.jpg,Te-no_0068.jpg,Is there a tumor visible in this scan?,"No, there is no tumor present.",tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0069.jpg,Te-no_0069.jpg,Is the scan indicating the presence of a tumor?,No growth is present.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0070.jpg,Te-no_0070.jpg,Is a tumor present in the scan provided?,No tumor can be seen.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0071.jpg,Te-no_0071.jpg,Is there any abnormal growth in this MRI?,No growth is present.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0072.jpg,Te-no_0072.jpg,Is this an example of a tumorous brain scan?,There’s no abnormality in the image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0073.jpg,Te-no_0073.jpg,Can you detect any tumor in this image?,Tumor not found in this image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0074.jpg,Te-no_0074.jpg,Can a tumor be observed in the image?,No growth is present.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0075.jpg,Te-no_0075.jpg,Is there a tumor visible in this scan?,"No, there is no tumor present.",tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0076.jpg,Te-no_0076.jpg,Is there a tumor visible in this scan?,No growth is present.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0077.jpg,Te-no_0077.jpg,Is there a tumor visible in this scan?,"No, there is no tumor present.",tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0078.jpg,Te-no_0078.jpg,Is a tumor present in the scan provided?,There’s no abnormality in the image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0079.jpg,Te-no_0079.jpg,Is a tumor present in the scan provided?,The scan appears normal.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0080.jpg,Te-no_0080.jpg,Is this an example of a tumorous brain scan?,The image does not show a tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0081.jpg,Te-no_0081.jpg,Is a tumor present in the scan provided?,There’s no abnormality in the image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0082.jpg,Te-no_0082.jpg,Does this MRI image show a tumor?,The image does not show a tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0083.jpg,Te-no_0083.jpg,Can you detect any tumor in this image?,No tumor is detected here.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0084.jpg,Te-no_0084.jpg,Does this MRI image show a tumor?,The image is tumor-free.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0085.jpg,Te-no_0085.jpg,Does this brain image contain a tumor?,There’s no abnormality in the image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0086.jpg,Te-no_0086.jpg,Is a tumor present in the scan provided?,No indication of tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0087.jpg,Te-no_0087.jpg,Is this an example of a tumorous brain scan?,The image does not show a tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0088.jpg,Te-no_0088.jpg,Does this MRI image show a tumor?,No tumor can be seen.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0089.jpg,Te-no_0089.jpg,Is a tumor present in the scan provided?,The scan appears normal.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0090.jpg,Te-no_0090.jpg,Is there a tumor visible in this scan?,No indication of tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0091.jpg,Te-no_0091.jpg,Can you detect any tumor in this image?,No growth is present.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0092.jpg,Te-no_0092.jpg,Is there any abnormal growth in this MRI?,No tumor can be seen.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0093.jpg,Te-no_0093.jpg,Is there any abnormal growth in this MRI?,The image does not show a tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0094.jpg,Te-no_0094.jpg,Is there a tumor visible in this scan?,Tumor not found in this image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0095.jpg,Te-no_0095.jpg,Is there any abnormal growth in this MRI?,The image does not show a tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0096.jpg,Te-no_0096.jpg,Is there a tumor visible in this scan?,"No, there is no tumor present.",tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0097.jpg,Te-no_0097.jpg,Can you detect any tumor in this image?,Tumor not found in this image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0098.jpg,Te-no_0098.jpg,Does this MRI image show a tumor?,Tumor not found in this image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0099.jpg,Te-no_0099.jpg,Is this an example of a tumorous brain scan?,No tumor is detected here.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0100.jpg,Te-no_0100.jpg,Is there any abnormal growth in this MRI?,The scan appears normal.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0101.jpg,Te-no_0101.jpg,Can a tumor be observed in the image?,No tumor is detected here.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0102.jpg,Te-no_0102.jpg,Is there any abnormal growth in this MRI?,The image is tumor-free.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0103.jpg,Te-no_0103.jpg,Does this brain image contain a tumor?,No tumor is detected here.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0104.jpg,Te-no_0104.jpg,Does this MRI show signs of a tumor?,The scan appears normal.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0105.jpg,Te-no_0105.jpg,Can you detect any tumor in this image?,The image does not show a tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0106.jpg,Te-no_0106.jpg,Is there any abnormal growth in this MRI?,Tumor not found in this image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0107.jpg,Te-no_0107.jpg,Is there any abnormal growth in this MRI?,No growth is present.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0108.jpg,Te-no_0108.jpg,Is there a tumor visible in this scan?,The image does not show a tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0109.jpg,Te-no_0109.jpg,Does this MRI image show a tumor?,No indication of tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0110.jpg,Te-no_0110.jpg,Is the scan indicating the presence of a tumor?,Tumor not found in this image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0111.jpg,Te-no_0111.jpg,Is there any abnormal growth in this MRI?,Tumor not found in this image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0112.jpg,Te-no_0112.jpg,Does this MRI image show a tumor?,No tumor can be seen.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0113.jpg,Te-no_0113.jpg,Is there a tumor visible in this scan?,"No, there is no tumor present.",tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0114.jpg,Te-no_0114.jpg,Is there a tumor visible in this scan?,There’s no abnormality in the image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0115.jpg,Te-no_0115.jpg,Can you detect any tumor in this image?,No growth is present.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0116.jpg,Te-no_0116.jpg,Is a tumor present in the scan provided?,No indication of tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0117.jpg,Te-no_0117.jpg,Is there a tumor visible in this scan?,No indication of tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0118.jpg,Te-no_0118.jpg,Is there any abnormal growth in this MRI?,"No, there is no tumor present.",tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0119.jpg,Te-no_0119.jpg,Does this MRI show signs of a tumor?,No indication of tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0120.jpg,Te-no_0120.jpg,Does this MRI image show a tumor?,No tumor can be seen.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0121.jpg,Te-no_0121.jpg,Does this brain image contain a tumor?,The image does not show a tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0122.jpg,Te-no_0122.jpg,Does this MRI show signs of a tumor?,No growth is present.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0123.jpg,Te-no_0123.jpg,Can you detect any tumor in this image?,No tumor is detected here.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0124.jpg,Te-no_0124.jpg,Can a tumor be observed in the image?,The image is tumor-free.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0125.jpg,Te-no_0125.jpg,Can a tumor be observed in the image?,The image does not show a tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0126.jpg,Te-no_0126.jpg,Can a tumor be observed in the image?,The image is tumor-free.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0127.jpg,Te-no_0127.jpg,Does this brain image contain a tumor?,There’s no abnormality in the image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0128.jpg,Te-no_0128.jpg,Is the scan indicating the presence of a tumor?,No indication of tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0129.jpg,Te-no_0129.jpg,Does this MRI image show a tumor?,No tumor can be seen.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0130.jpg,Te-no_0130.jpg,Can a tumor be observed in the image?,The scan appears normal.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0131.jpg,Te-no_0131.jpg,Is there a tumor visible in this scan?,There’s no abnormality in the image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0132.jpg,Te-no_0132.jpg,Is this an example of a tumorous brain scan?,There’s no abnormality in the image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0133.jpg,Te-no_0133.jpg,Is there a tumor visible in this scan?,Tumor not found in this image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0134.jpg,Te-no_0134.jpg,Does this MRI image show a tumor?,"No, there is no tumor present.",tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0135.jpg,Te-no_0135.jpg,Is the scan indicating the presence of a tumor?,No growth is present.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0136.jpg,Te-no_0136.jpg,Can a tumor be observed in the image?,No tumor is detected here.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0137.jpg,Te-no_0137.jpg,Does this MRI image show a tumor?,No tumor is detected here.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0138.jpg,Te-no_0138.jpg,Does this brain image contain a tumor?,The image does not show a tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0139.jpg,Te-no_0139.jpg,Can you detect any tumor in this image?,"No, there is no tumor present.",tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0140.jpg,Te-no_0140.jpg,Is a tumor present in the scan provided?,No growth is present.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0141.jpg,Te-no_0141.jpg,Does this MRI image show a tumor?,The image does not show a tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0142.jpg,Te-no_0142.jpg,Can you detect any tumor in this image?,No indication of tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0143.jpg,Te-no_0143.jpg,Does this brain image contain a tumor?,The image does not show a tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0144.jpg,Te-no_0144.jpg,Is this an example of a tumorous brain scan?,Tumor not found in this image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0145.jpg,Te-no_0145.jpg,Can you detect any tumor in this image?,The image is tumor-free.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0146.jpg,Te-no_0146.jpg,Does this MRI show signs of a tumor?,The scan appears normal.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0147.jpg,Te-no_0147.jpg,Can you detect any tumor in this image?,No growth is present.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0148.jpg,Te-no_0148.jpg,Is the scan indicating the presence of a tumor?,No tumor is detected here.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0149.jpg,Te-no_0149.jpg,Is the scan indicating the presence of a tumor?,No indication of tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0150.jpg,Te-no_0150.jpg,Can you detect any tumor in this image?,No indication of tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0151.jpg,Te-no_0151.jpg,Can you detect any tumor in this image?,"No, there is no tumor present.",tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0152.jpg,Te-no_0152.jpg,Is there any abnormal growth in this MRI?,The scan appears normal.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0153.jpg,Te-no_0153.jpg,Does this MRI show signs of a tumor?,No tumor is detected here.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0154.jpg,Te-no_0154.jpg,Is this an example of a tumorous brain scan?,No tumor can be seen.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0155.jpg,Te-no_0155.jpg,Does this brain image contain a tumor?,No tumor can be seen.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0156.jpg,Te-no_0156.jpg,Can a tumor be observed in the image?,No growth is present.,tumor_presense
